gene_ID,ntf
AT4G16570,PRMT7
AT5G05970,NEDD1
AT4G36910,LEJ2
AT5G59580,UGT76E1
AT2G31200,ADF6
AT5G06150,CYC1BAT
AT2G41290,SSL2
AT4G29190,OZF2
AT4G09180,FBH2
AT5G57420,IAA33
AT3G63180,TKL
AT4G00490,BAM2
AT4G24900,TTL
AT3G23210,bHLH34
AT5G42600,MRN1
AT5G63950,CHR24
AT1G71880,SUC1
AT2G19590,ACO1
AT1G52690,LEA7
AT3G18270,CYP77A5P
AT1G59540,ZCF125
AT4G15780,VAMP724
AT5G54840,SGP1
AT3G16260,TRZ4
AT2G47590,PHR2
AT1G01580,FRO2
AT3G19570,SCO3
AT1G69295,PDCB4
AT4G24570,DIC2
AT1G73500,MKK9
AT5G15860,PCME
AT5G04200,MC9
AT5G40870,UK/UPRT1
AT3G24320,MSH1
AT2G28250,NCRK
AT5G15450,CLPB3
AT3G18910,ETP2
AT3G16150,ASPGB1
AT4G20740,EMB3131
AT1G47600,BGLU34
AT1G13620,RGF2
AT2G47940,DEG2
AT3G51780,BAG4
AT2G36250,FTSZ2-1
AT5G01500,TAAC
AT5G22330,RIN1
AT5G17520,RCP1
AT3G53030,SRPK4
AT5G51820,PGM
AT5G30510,RPS1
AT3G18030,HAL3A
AT5G20320,DCL4
AT2G18710,SCY1
AT1G18040,CDKD1;3
AT5G61130,PDCB1
AT3G07410,RABA5b
AT1G06130,GLX2-4
AT3G52180,SEX4
AT5G64960,CDKC2
AT1G28560,SRD2
AT2G29190,PUM2
AT2G17480,MLO8
AT2G20310,RIN13
AT1G26870,FEZ
AT1G64080,MAKR2
AT5G58690,PLC5
AT5G59220,HAI1
AT3G53720,CHX20
AT3G23410,FAO3
AT5G51350,MOL1
AT5G23310,FSD3
AT1G21690,EMB1968
AT5G16630,RAD4
AT5G02790,GSTL3
AT3G52890,KIPK
AT1G50240,FU
AT3G12200,Nek7
AT3G59420,CR4
AT1G74720,QKY
AT3G55980,SZF1
AT4G28720,YUC8
AT2G19490,RECA2
AT1G73990,SPPA
AT3G24590,PLSP1
AT2G26000,BRIZ2
AT4G38430,ROPGEF1
AT2G38810,HTA8
AT4G14680,APS3
AT1G16460,RDH2
AT2G36390,SBE2.1
AT3G22890,APS1
AT4G00340,RLK4
AT1G33280,NAC015
AT3G23400,FIB4
AT5G52640,HSP90.1
AT3G06110,MKP2
AT4G20360,RABE1b
AT3G09350,Fes1A
AT3G03450,RGL2
AT3G50670,U1-70K
AT4G14210,PDS3
AT4G36400,D2HGDH
AT5G63980,SAL1
AT1G04520,PDLP2
AT4G37770,ACS8
AT1G57820,VIM1
AT2G45470,FLA8
AT5G59430,TRP1
AT5G24960,CYP71A14
AT2G11520,CRCK3
AT1G23310,GGT1
AT3G57550,AGK2
AT1G54510,NEK1
AT3G20540,POLGAMMA1
AT1G79580,SMB
AT5G67100,ICU2
AT4G04020,FIB
AT5G27740,EMB2775
AT3G09910,RABC2b
AT1G78630,emb1473
AT2G05210,AtPOT1a
AT3G17590,BSH
AT3G14990,DJ1A
AT3G61460,BRH1
AT5G17790,VAR3
AT1G32200,ATS1
AT3G10490,NAC052
AT3G62100,IAA30
AT1G28110,SCPL45
AT1G31160,HINT 2
AT1G09570,PHYA
AT1G26260,CIB5
AT1G53700,WAG1
AT5G19200,TSC10B
AT4G31670,UBP18
AT5G40850,UPM1
AT2G39090,APC7
AT4G12910,scpl20
AT5G18440,NUFIP
AT5G15920,SMC5
AT5G67470,FH6
AT2G17520,IRE1A
AT1G33040,NACA5
AT4G39460,SAMC1
AT3G61590,HWS
AT1G20900,ESC
AT5G40440,MKK3
AT3G26640,LWD2
AT4G00400,GPAT8
AT3G08760,ATSIK
AT3G51240,F3H
AT4G33200,XI-I
AT1G48175,emb2191
AT3G18390,EMB1865
AT2G41680,NTRC
AT4G15910,DI21
AT1G67070,DIN9
AT1G10570,OTS2
AT3G12300,BUG22
AT3G19960,ATM1
AT5G48720,XRI1
AT3G46590,TRFL1
AT2G16780,MSI2
AT4G08770,Prx37
AT4G10350,NAC070
AT3G48000,ALDH2B4
AT3G10690,GYRA
AT4G34970,ADF9
AT3G50700,IDD2
AT1G30835,SADHU1-2
AT4G34980,SLP2
AT2G35770,scpl28
AT2G24070,QWRF4
AT4G38570,PIS2
AT4G25640,DTX35
AT1G02970,WEE1
AT4G32260,PDE334
AT5G04590,SIR
AT1G69830,AMY3
AT2G29550,TUB7
AT5G34940,GUS3
AT1G48380,RHL1
AT3G57660,NRPA1
AT5G28290,NEK3
AT1G08730,XIC
AT3G06850,BCE2
AT1G50300,TAF15
AT4G18890,BEH3
AT1G25580,SOG1
AT2G36740,SWC2
AT2G19520,FVE
AT5G64280,DiT2.2
AT5G14620,DRM2
AT1G24100,UGT74B1
AT1G80770,PDE318
AT3G10480,NAC050
AT1G03530,NAF1
AT1G28520,VOZ1
AT3G46970,PHS2
AT4G08980,FBW2
AT5G13570,DCP2
AT5G17890,DAR4
AT3G11670,DGD1
AT1G74310,HSP101
AT3G12380,ARP5
AT3G57300,INO80
AT2G47160,BOR1
AT3G50070,CYCD3;3
AT5G26880,AGL26
AT3G05290,PNC1
AT3G54826,ZR3
AT1G80300,NTT1
AT3G05030,NHX2
AT1G14690,MAP65-7
AT4G20020,MORF1
AT5G19520,MSL9
AT4G26320,AGP13
AT3G21110,PUR7
AT5G16505,MUG4
